Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2022-46175,EXISTING,0,2026-03-13T14:07:59.512Z,SCA,json5:2.2.0
CRITICAL,CVE-2022-29078,EXISTING,15,2026-03-13T14:07:59.509Z,SCA,ejs:2.7.4
HIGH,CVE-2022-46175,EXISTING,15,2026-03-13T14:07:59.512Z,SCA,json5:1.0.1
HIGH,CVE-2024-29415,EXISTING,0,2026-03-13T14:07:59.511Z,SCA,ip:1.1.5
MEDIUM,CVE-2025-30360,EXISTING,0,2026-03-13T14:07:59.569Z,SCA,webpack-dev-server:3.11.2
HIGH,CVE-2026-0994,EXISTING,0,2026-03-13T14:07:59.577Z,SCA,protobuf:3.20.3
HIGH,CVE-2026-0994,EXISTING,0,2026-03-13T14:07:59.577Z,SCA,protobuf:3.6.1
CRITICAL,CVE-2022-37601,EXISTING,0,2026-03-13T14:07:59.513Z,SCA,loader-utils:1.2.3
CRITICAL,CVE-2022-37601,EXISTING,0,2026-03-13T14:07:59.513Z,SCA,loader-utils:1.4.0
CRITICAL,CVE-2022-37601,EXISTING,0,2026-03-13T14:07:59.514Z,SCA,loader-utils:2.0.0
HIGH,CVE-2022-25967,EXISTING,0,2026-03-13T14:07:59.514Z,SCA,eta:1.12.2
CRITICAL,CVE-2021-42740,EXISTING,0,2026-03-13T14:07:59.515Z,SCA,shell-quote:1.7.2
HIGH,CVE-2024-6345,EXISTING,0,2026-03-13T14:07:59.515Z,SCA,setuptools:66.1.1
CRITICAL,CVE-2017-18342,EXISTING,1,2026-03-13T14:07:59.516Z,SCA,PyYAML:3.13
MEDIUM,CVE-2023-32681,EXISTING,0,2026-03-13T14:07:59.516Z,SCA,requests:2.20.1
HIGH,CVE-2020-7753,EXISTING,15,2026-03-13T14:07:59.517Z,SCA,trim:0.0.1
HIGH,CVE-2022-25858,EXISTING,0,2026-03-13T14:07:59.517Z,SCA,terser:5.7.1
HIGH,CVE-2022-37599,EXISTING,0,2026-03-13T14:07:59.517Z,SCA,loader-utils:1.2.3
HIGH,CVE-2022-37599,EXISTING,5,2026-03-13T14:07:59.518Z,SCA,loader-utils:1.4.0
HIGH,CVE-2022-37599,EXISTING,0,2026-03-13T14:07:59.518Z,SCA,loader-utils:2.0.0
HIGH,CVE-2020-8203,EXISTING,0,2026-03-13T14:07:59.519Z,SCA,lodash.pick:4.4.0
HIGH,CVE-2024-29180,EXISTING,0,2026-03-13T14:07:59.520Z,SCA,webpack-dev-middleware:3.7.3
HIGH,CVE-2024-45590,EXISTING,0,2026-03-13T14:07:59.520Z,SCA,body-parser:1.19.0
HIGH,CVE-2022-24999,EXISTING,0,2026-03-13T14:07:59.521Z,SCA,qs:6.7.0
HIGH,CVE-2019-11324,EXISTING,0,2026-03-13T14:07:59.522Z,SCA,urllib3:1.24.1
LOW,CVE-2024-42461,EXISTING,0,2026-03-13T14:07:59.522Z,SCA,elliptic:6.5.4
MEDIUM,CVE-2021-24033,EXISTING,0,2026-03-13T14:07:59.522Z,SCA,react-dev-utils:10.2.1
HIGH,CVE-2022-37603,EXISTING,0,2026-03-13T14:07:59.523Z,SCA,loader-utils:1.2.3
HIGH,CVE-2022-37603,EXISTING,0,2026-03-13T14:07:59.523Z,SCA,loader-utils:1.4.0
HIGH,CVE-2022-37603,EXISTING,0,2026-03-13T14:07:59.523Z,SCA,loader-utils:2.0.0
MEDIUM,CVE-2024-33883,EXISTING,0,2026-03-13T14:07:59.524Z,SCA,ejs:2.7.4
HIGH,CVE-2023-43804,EXISTING,15,2026-03-13T14:07:59.524Z,SCA,urllib3:1.24.1
HIGH,CVE-2022-25883,EXISTING,1,2026-03-13T14:07:59.525Z,SCA,semver:5.7.1
HIGH,CVE-2022-25883,EXISTING,0,2026-03-13T14:07:59.525Z,SCA,semver:6.3.0
HIGH,CVE-2022-25883,EXISTING,0,2026-03-13T14:07:59.526Z,SCA,semver:7.0.0
MEDIUM,CVE-2022-33987,EXISTING,1,2026-03-13T14:07:59.526Z,SCA,got:9.6.0
MEDIUM,CVE-2024-3651,EXISTING,0,2026-03-13T14:07:59.527Z,SCA,idna:2.10
MEDIUM,CVE-2024-3651,EXISTING,18,2026-03-13T14:07:59.528Z,SCA,idna:2.7
HIGH,CVE-2023-46234,EXISTING,50,2026-03-13T14:07:59.528Z,SCA,browserify-sign:4.2.1
HIGH,CVE-2023-23630,EXISTING,0,2026-03-13T14:07:59.529Z,SCA,eta:1.12.2
LOW,CVE-2024-43800,EXISTING,0,2026-03-13T14:07:59.530Z,SCA,serve-static:1.14.1
HIGH,CVE-2022-40899,EXISTING,0,2026-03-13T14:07:59.530Z,SCA,future:0.17.1
HIGH,CVE-2024-21536,EXISTING,0,2026-03-13T14:07:59.530Z,SCA,http-proxy-middleware:0.19.1
MEDIUM,CVE-2024-28863,EXISTING,15,2026-03-13T14:07:59.531Z,SCA,tar:6.1.11
LOW,CVE-2023-42282,EXISTING,1,2026-03-13T14:07:59.531Z,SCA,ip:1.1.5
MEDIUM,CVE-2021-23364,EXISTING,1,2026-03-13T14:07:59.532Z,SCA,browserslist:4.10.0
HIGH,CVE-2024-4068,EXISTING,50,2026-03-13T14:07:59.533Z,SCA,braces:3.0.2
HIGH,CVE-2021-3807,EXISTING,0,2026-03-13T14:07:59.533Z,SCA,ansi-regex:5.0.0
MEDIUM,CVE-2020-26137,EXISTING,0,2026-03-13T14:07:59.534Z,SCA,urllib3:1.24.1
HIGH,CVE-2022-25881,EXISTING,50,2026-03-13T14:07:59.534Z,SCA,http-cache-semantics:4.1.0
HIGH,CVE-2025-47273,EXISTING,5,2026-03-13T14:07:59.534Z,SCA,setuptools:66.1.1
MEDIUM,CVE-2018-25091,EXISTING,0,2026-03-13T14:07:59.535Z,SCA,urllib3:1.24.1
HIGH,CVE-2024-52798,EXISTING,0,2026-03-13T14:07:59.535Z,SCA,path-to-regexp:0.1.7
MEDIUM,CVE-2024-37891,EXISTING,50,2026-03-13T14:07:59.535Z,SCA,urllib3:1.24.1
CRITICAL,CVE-2025-6545,EXISTING,0,2026-03-13T14:07:59.536Z,SCA,pbkdf2:3.1.2
HIGH,CVE-2021-23424,EXISTING,0,2026-03-13T14:07:59.537Z,SCA,ansi-html:0.0.7
MEDIUM,CVE-2023-44270,EXISTING,15,2026-03-13T14:07:59.538Z,SCA,postcss:7.0.36
HIGH,CVE-2021-3803,EXISTING,0,2026-03-13T14:07:59.538Z,SCA,nth-check:1.0.2
HIGH,CVE-2021-3803,EXISTING,2,2026-03-13T14:07:59.539Z,SCA,nth-check:2.0.0
MEDIUM,CVE-2025-15284,NEW,0,2026-03-13T14:07:59.551Z,SCA,qs:6.7.0
CRITICAL,CVE-2025-9287,EXISTING,1,2026-03-13T14:07:59.555Z,SCA,cipher-base:1.0.4
HIGH,CVE-2025-66031,EXISTING,1,2026-03-13T14:07:59.556Z,SCA,node-forge:0.10.0
MEDIUM,CVE-2022-0122,EXISTING,0,2026-03-13T14:07:59.557Z,SCA,node-forge:0.10.0
CRITICAL,CVE-2023-45133,EXISTING,15,2026-03-13T14:07:59.558Z,SCA,@babel/traverse:7.14.7
LOW,CVE-2024-42460,EXISTING,0,2026-03-13T14:07:59.558Z,SCA,elliptic:6.5.4
HIGH,CVE-2023-37920,EXISTING,15,2026-03-13T14:07:59.559Z,SCA,certifi:2018.10.15
MEDIUM,CVE-2024-47081,EXISTING,0,2026-03-13T14:07:59.559Z,SCA,requests:2.20.1
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-13T14:07:59.560Z,SCA,@babel/helpers:7.14.6
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-13T14:07:59.560Z,SCA,@babel/runtime:7.14.6
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-13T14:07:59.560Z,SCA,@babel/runtime-corejs3:7.14.7
MEDIUM,CVE-2025-3193,EXISTING,0,2026-03-13T14:07:59.561Z,SCA,algoliasearch-helper:3.6.2
MEDIUM,CVE-2022-24773,EXISTING,0,2026-03-13T14:07:59.561Z,SCA,node-forge:0.10.0
MEDIUM,CVE-2024-4067,EXISTING,0,2026-03-13T14:07:59.561Z,SCA,micromatch:3.1.10
MEDIUM,CVE-2024-4067,EXISTING,50,2026-03-13T14:07:59.562Z,SCA,micromatch:4.0.4
MEDIUM,CVE-2024-29041,EXISTING,0,2026-03-13T14:07:59.562Z,SCA,express:4.17.1
LOW,CVE-2024-43799,EXISTING,0,2026-03-13T14:07:59.563Z,SCA,send:0.17.1
MEDIUM,CVE-2023-26159,EXISTING,0,2026-03-13T14:07:59.563Z,SCA,follow-redirects:1.14.8
LOW,CVE-2024-48948,EXISTING,0,2026-03-13T14:07:59.563Z,SCA,elliptic:6.5.4
HIGH,CVE-2024-21538,EXISTING,0,2026-03-13T14:07:59.564Z,SCA,cross-spawn:6.0.5
HIGH,CVE-2024-21538,EXISTING,0,2026-03-13T14:07:59.564Z,SCA,cross-spawn:7.0.1
HIGH,CVE-2024-21538,EXISTING,0,2026-03-13T14:07:59.564Z,SCA,cross-spawn:7.0.3
HIGH,CVE-2024-45296,EXISTING,0,2026-03-13T14:07:59.565Z,SCA,path-to-regexp:0.1.7
HIGH,CVE-2024-45296,EXISTING,0,2026-03-13T14:07:59.565Z,SCA,path-to-regexp:1.8.0
HIGH,CVE-2024-45296,EXISTING,0,2026-03-13T14:07:59.565Z,SCA,path-to-regexp:2.2.1
HIGH,CVE-2025-12816,EXISTING,1,2026-03-13T14:07:59.566Z,SCA,node-forge:0.10.0
HIGH,CVE-2026-26996,EXISTING,0,2026-03-13T14:07:59.567Z,SCA,minimatch:3.0.4
MEDIUM,CVE-2024-53382,EXISTING,0,2026-03-13T14:07:59.567Z,SCA,prismjs:1.27.0
HIGH,CVE-2026-27903,EXISTING,0,2026-03-13T14:07:59.567Z,SCA,minimatch:3.0.4
LOW,CVE-2024-43796,EXISTING,0,2026-03-13T14:07:59.568Z,SCA,express:4.17.1
HIGH,CVE-2026-27904,EXISTING,0,2026-03-13T14:07:59.568Z,SCA,minimatch:3.0.4
CRITICAL,CVE-2025-9288,EXISTING,50,2026-03-13T14:07:59.568Z,SCA,sha.js:2.4.11
MEDIUM,CVE-2022-23491,EXISTING,15,2026-03-13T14:07:59.569Z,SCA,certifi:2018.10.15
MEDIUM,CVE-2025-69873,EXISTING,0,2026-03-13T14:07:59.572Z,SCA,ajv:6.12.6
MEDIUM,CVE-2023-45803,EXISTING,15,2026-03-13T14:07:59.573Z,SCA,urllib3:1.24.1
CRITICAL,CVE-2025-6547,EXISTING,0,2026-03-13T14:07:59.573Z,SCA,pbkdf2:3.1.2
HIGH,CVE-2025-66418,EXISTING,50,2026-03-13T14:07:59.574Z,SCA,urllib3:1.24.1
MEDIUM,CVE-2025-66030,EXISTING,15,2026-03-13T14:07:59.574Z,SCA,node-forge:0.10.0
LOW,CVE-2025-54798,EXISTING,1,2026-03-13T14:07:59.575Z,SCA,tmp:0.0.33
MEDIUM,CVE-2024-35195,EXISTING,0,2026-03-13T14:07:59.575Z,SCA,requests:2.20.1
