Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2024-4068,EXISTING,0,2026-03-11T22:08:16.910Z,SCA,braces:2.3.2
MEDIUM,CVE-2023-26136,EXISTING,15,2026-03-11T22:08:16.883Z,SCA,tough-cookie:2.5.0
HIGH,CVE-2022-24434,EXISTING,50,2026-03-11T22:08:16.889Z,SCA,dicer:0.2.5
MEDIUM,CVE-2022-33987,EXISTING,1,2026-03-11T22:08:16.891Z,SCA,got:8.3.2
MEDIUM,CVE-2023-28155,EXISTING,15,2026-03-11T22:08:16.895Z,SCA,request:2.88.2
HIGH,CVE-2021-3795,EXISTING,15,2026-03-11T22:08:16.901Z,SCA,semver-regex:2.0.0
MEDIUM,CVE-2020-15366,EXISTING,15,2026-03-11T22:08:16.905Z,SCA,ajv:5.5.2
CRITICAL,CVE-2025-7783,EXISTING,0,2026-03-11T22:08:16.913Z,SCA,form-data:2.3.3
HIGH,CVE-2022-25881,EXISTING,15,2026-03-11T22:08:16.916Z,SCA,http-cache-semantics:3.8.1
MEDIUM,CVE-2025-15284,NEW,0,2026-03-11T22:08:16.946Z,SCA,qs:6.5.5
LOW,CVE-2021-43307,EXISTING,1,2026-03-11T22:08:16.964Z,SCA,semver-regex:2.0.0
CRITICAL,CVE-2023-45133,EXISTING,50,2026-03-11T22:08:16.968Z,SCA,babel-traverse:6.26.0
MEDIUM,CVE-2024-4067,EXISTING,0,2026-03-11T22:08:16.971Z,SCA,micromatch:3.1.10
HIGH,CVE-2025-48997,EXISTING,5,2026-03-11T22:08:16.975Z,SCA,multer:1.4.4
HIGH,CVE-2024-21538,EXISTING,0,2026-03-11T22:08:16.979Z,SCA,cross-spawn:5.1.0
HIGH,CVE-2026-3520,NEW,0,2026-03-11T22:08:17.009Z,SCA,multer:1.4.4
HIGH,CVE-2026-2359,NEW,0,2026-03-11T22:08:17.040Z,SCA,multer:1.4.4
HIGH,CVE-2026-3304,NEW,0,2026-03-11T22:08:17.064Z,SCA,multer:1.4.4
HIGH,CVE-2025-47935,EXISTING,5,2026-03-11T22:08:17.074Z,SCA,multer:1.4.4
HIGH,CVE-2026-29786,NEW,0,2026-03-11T22:08:17.099Z,SCA,tar:6.2.1
HIGH,CVE-2026-24842,EXISTING,0,2026-03-11T22:08:17.107Z,SCA,tar:6.2.1
HIGH,CVE-2025-7338,EXISTING,15,2026-03-11T22:08:17.110Z,SCA,multer:1.4.4
HIGH,CVE-2026-26960,EXISTING,0,2026-03-11T22:08:17.114Z,SCA,tar:6.2.1
HIGH,CVE-2025-47944,EXISTING,2,2026-03-11T22:08:17.117Z,SCA,multer:1.4.4
HIGH,CVE-2026-23950,EXISTING,0,2026-03-11T22:08:17.119Z,SCA,tar:6.2.1
HIGH,CVE-2026-23745,EXISTING,0,2026-03-11T22:08:17.122Z,SCA,tar:6.2.1
HIGH,CVE-2026-31802,NEW,0,2026-03-11T22:08:17.142Z,SCA,tar:6.2.1
HIGH,CVE-2026-31802,NEW,0,2026-03-11T22:08:17.170Z,SCA,tar:7.5.10
LOW,CVE-2025-14505,EXISTING,0,2026-03-11T22:08:17.179Z,SCA,elliptic:6.6.1
HIGH,GHSA-5c6j-r48x-rmvq,NEW,0,2026-03-11T22:08:17.200Z,SCA,serialize-javascript:4.0.0
HIGH,GHSA-5c6j-r48x-rmvq,NEW,0,2026-03-11T22:08:17.229Z,SCA,serialize-javascript:6.0.2
MEDIUM,CVE-2025-69873,EXISTING,0,2026-03-11T22:08:17.078Z,SCA,ajv:5.5.2
