Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2020-9402,EXISTING,15,2026-04-02T00:53:38.694Z,SCA,Django:3.0.0
MEDIUM,CVE-2021-3281,EXISTING,15,2026-04-02T00:53:38.695Z,SCA,Django:3.0.0
CRITICAL,CVE-2021-35042,EXISTING,5,2026-04-02T00:53:38.708Z,SCA,Django:3.0.0
HIGH,CVE-2022-46175,EXISTING,50,2026-04-02T00:53:38.724Z,SCA,json5:0.5.1
HIGH,CVE-2020-13254,EXISTING,15,2026-04-02T00:53:38.695Z,SCA,Django:3.0.0
CRITICAL,CVE-2022-37601,EXISTING,0,2026-03-31T18:15:22.521Z,SCA,loader-utils:0.2.17
CRITICAL,CVE-2021-44906,EXISTING,0,2026-03-31T18:15:22.560Z,SCA,minimist:0.0.8
HIGH,CVE-2021-3757,EXISTING,0,2026-03-31T18:15:22.566Z,SCA,immer:8.0.1
HIGH,CVE-2022-25883,EXISTING,0,2026-03-31T18:15:22.569Z,SCA,semver:4.3.2
HIGH,CVE-2022-25883,EXISTING,0,2026-03-31T18:15:22.570Z,SCA,semver:5.3.0
HIGH,CVE-2022-25883,EXISTING,0,2026-03-31T18:15:22.571Z,SCA,semver:5.5.0
HIGH,CVE-2022-25883,EXISTING,0,2026-03-31T18:15:22.573Z,SCA,semver:5.6.0
CRITICAL,CVE-2021-42740,EXISTING,50,2026-04-02T00:53:38.706Z,SCA,shell-quote:1.7.2
HIGH,CVE-2022-25883,EXISTING,0,2026-03-31T18:15:22.575Z,SCA,semver:6.3.0
HIGH,CVE-2024-37890,EXISTING,0,2026-03-31T18:15:22.578Z,SCA,ws:7.5.9
HIGH,CVE-2021-23337,EXISTING,0,2026-03-31T18:15:22.588Z,SCA,lodash:4.17.11
LOW,CVE-2024-43800,EXISTING,0,2026-03-31T18:15:22.595Z,SCA,serve-static:1.12.1
HIGH,CVE-2024-21536,EXISTING,0,2026-03-31T18:15:22.600Z,SCA,http-proxy-middleware:0.19.1
HIGH,CVE-2024-4068,EXISTING,0,2026-03-31T18:15:22.615Z,SCA,braces:3.0.2
MEDIUM,CVE-2020-7598,EXISTING,0,2026-03-31T18:15:22.620Z,SCA,minimist:0.0.8
MEDIUM,CVE-2020-28500,EXISTING,0,2026-03-31T18:15:22.627Z,SCA,lodash:4.17.20
MEDIUM,CVE-2023-44270,EXISTING,0,2026-03-31T18:15:22.642Z,SCA,postcss:5.2.18
CRITICAL,CVE-2021-23436,EXISTING,0,2026-03-31T18:15:22.652Z,SCA,immer:9.0.3
CRITICAL,CVE-2023-45133,EXISTING,0,2026-03-31T18:15:22.655Z,SCA,@babel/traverse:7.22.6
HIGH,CVE-2025-30204,EXISTING,0,2026-03-31T18:15:22.666Z,SCA,github.com/golang-jwt/jwt:v3.2.2+incompatible
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-31T18:15:22.670Z,SCA,@babel/helpers:7.22.6
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-31T18:15:22.671Z,SCA,@babel/runtime:7.12.13
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-31T18:15:22.673Z,SCA,@babel/runtime:7.9.0
CRITICAL,CVE-2025-7783,EXISTING,0,2026-03-31T18:15:22.677Z,SCA,form-data:3.0.1
MEDIUM,CVE-2020-7608,EXISTING,0,2026-03-31T18:15:22.679Z,SCA,yargs-parser:11.1.1
MEDIUM,CVE-2024-4067,EXISTING,0,2026-03-31T18:15:22.683Z,SCA,micromatch:3.1.10
MEDIUM,CVE-2026-33672,NEW,0,2026-03-31T18:15:22.705Z,SCA,picomatch:2.3.1
