Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2022-29177,EXISTING,0,2026-03-20T01:42:57.524Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2021-41173,EXISTING,0,2026-03-20T01:42:57.532Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2024-32972,EXISTING,85,2026-03-20T01:42:57.506Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2022-23327,EXISTING,0,2026-03-20T01:42:57.508Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2022-23327,EXISTING,96,2026-03-20T01:42:57.510Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2022-23328,EXISTING,80,2026-03-20T01:42:57.512Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2021-42219,EXISTING,0,2026-03-20T01:42:57.513Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2021-39137,EXISTING,65,2026-03-20T01:42:57.530Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2026-26014,EXISTING,0,2026-03-20T01:42:57.534Z,SCA,github.com/pion/dtls/v2:v2.2.7
HIGH,CVE-2026-22868,EXISTING,96,2026-03-20T01:42:57.538Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2025-24883,EXISTING,60,2026-03-20T01:42:57.539Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2026-26313,EXISTING,0,2026-03-20T01:42:57.540Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2026-26313,EXISTING,0,2026-03-20T01:42:57.541Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2026-26315,EXISTING,0,2026-03-20T01:42:57.541Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2026-26315,EXISTING,0,2026-03-20T01:42:57.541Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2025-47914,EXISTING,0,2026-03-20T01:42:57.542Z,SCA,golang.org/x/crypto:v0.44.0
HIGH,CVE-2018-12018,EXISTING,0,2026-03-20T01:42:57.500Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2018-12018,EXISTING,15,2026-03-20T01:42:57.502Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2023-42319,EXISTING,0,2026-03-20T01:42:57.503Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2023-42319,EXISTING,90,2026-03-20T01:42:57.504Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2024-32972,EXISTING,0,2026-03-20T01:42:57.507Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2022-23328,EXISTING,0,2026-03-20T01:42:57.509Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2021-42219,EXISTING,55,2026-03-20T01:42:57.514Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2018-19184,EXISTING,15,2026-03-20T01:42:57.515Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2018-19184,EXISTING,0,2026-03-20T01:42:57.516Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2022-37450,EXISTING,0,2026-03-20T01:42:57.517Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2022-37450,EXISTING,80,2026-03-20T01:42:57.517Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2020-26242,EXISTING,15,2026-03-20T01:42:57.519Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2020-26264,EXISTING,0,2026-03-20T01:42:57.520Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2020-26264,EXISTING,25,2026-03-20T01:42:57.521Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2023-40591,EXISTING,0,2026-03-20T01:42:57.522Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2023-40591,EXISTING,96,2026-03-20T01:42:57.522Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2022-29177,EXISTING,15,2026-03-20T01:42:57.524Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2020-26240,EXISTING,0,2026-03-20T01:42:57.526Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2020-26240,EXISTING,15,2026-03-20T01:42:57.527Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2018-16733,EXISTING,0,2026-03-20T01:42:57.528Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2018-16733,EXISTING,50,2026-03-20T01:42:57.529Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2020-26241,EXISTING,50,2026-03-20T01:42:57.530Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2020-26265,EXISTING,65,2026-03-20T01:42:57.531Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2021-41173,EXISTING,15,2026-03-20T01:42:57.532Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2026-26314,EXISTING,0,2026-03-20T01:42:57.533Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2026-26314,EXISTING,0,2026-03-20T01:42:57.533Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
MEDIUM,CVE-2025-58181,EXISTING,0,2026-03-20T01:42:57.534Z,SCA,golang.org/x/crypto:v0.44.0
MEDIUM,CVE-2021-43668,EXISTING,0,2026-03-20T01:42:57.535Z,SCA,github.com/ethereum/go-ethereum:
MEDIUM,CVE-2021-43668,EXISTING,15,2026-03-20T01:42:57.535Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
HIGH,CVE-2026-22862,EXISTING,15,2026-03-20T01:42:57.536Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2026-22868,EXISTING,0,2026-03-20T01:42:57.537Z,SCA,github.com/ethereum/go-ethereum:
HIGH,CVE-2026-22862,EXISTING,0,2026-03-20T01:42:57.538Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
CRITICAL,GHSA-m6gx-rhvj-fh52,EXISTING,0,2026-03-20T01:42:57.542Z,SCA,github.com/ethereum/go-ethereum:
CRITICAL,GHSA-m6gx-rhvj-fh52,EXISTING,0,2026-03-20T01:42:57.542Z,SCA,github.com/ethereum/go-ethereum:v0.0.0-00010101000000-000000000000
CRITICAL,CVE-2026-33186,NEW,0,2026-03-20T01:42:57.565Z,SCA,google.golang.org/grpc:v1.77.0
