Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2026-27199,EXISTING,0,2026-03-13T22:07:29.440Z,SCA,werkzeug:3.1.5
LOW,CVE-2026-27205,EXISTING,0,2026-03-13T22:07:29.443Z,SCA,flask:3.1.2
LOW,CVE-2024-12797,EXISTING,0,2026-03-13T22:07:29.438Z,SCA,cryptography:43.0.1
HIGH,CVE-2025-47273,EXISTING,0,2026-03-13T22:07:29.439Z,SCA,setuptools:75.1.0
HIGH,CVE-2026-23949,EXISTING,0,2026-03-13T22:07:29.440Z,SCA,jaraco-context:6.0.1
HIGH,CVE-2025-66418,EXISTING,0,2026-03-13T22:07:29.441Z,SCA,urllib3:2.2.3
HIGH,CVE-2025-66471,EXISTING,0,2026-03-13T22:07:29.441Z,SCA,urllib3:2.2.3
HIGH,CVE-2026-21441,EXISTING,0,2026-03-13T22:07:29.442Z,SCA,urllib3:2.2.3
MEDIUM,CVE-2025-50181,EXISTING,0,2026-03-13T22:07:29.442Z,SCA,urllib3:2.2.3
MEDIUM,CVE-2025-50182,EXISTING,0,2026-03-13T22:07:29.443Z,SCA,urllib3:2.2.3
HIGH,CVE-2026-24049,EXISTING,0,2026-03-13T22:07:29.444Z,SCA,wheel:0.45.1
HIGH,CVE-2026-26007,EXISTING,0,2026-03-13T22:07:29.444Z,SCA,cryptography:43.0.1
