Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2024-47068,EXISTING,1,2026-03-14T06:07:47.464Z,SCA,rollup:4.18.0
HIGH,CVE-2026-27606,EXISTING,0,2026-03-14T06:07:47.465Z,SCA,rollup:4.18.0
CRITICAL,CVE-2025-7783,EXISTING,50,2026-03-14T06:07:47.465Z,SCA,form-data:4.0.0
MEDIUM,CVE-2025-27789,EXISTING,0,2026-03-14T06:07:47.465Z,SCA,@babel/helpers:7.24.7
MEDIUM,CVE-2025-27789,EXISTING,25,2026-03-14T06:07:47.465Z,SCA,@babel/runtime:7.24.7
MEDIUM,CVE-2024-4067,EXISTING,1,2026-03-14T06:07:47.466Z,SCA,micromatch:4.0.7
HIGH,CVE-2024-21538,EXISTING,0,2026-03-14T06:07:47.466Z,SCA,cross-spawn:6.0.5
HIGH,CVE-2024-21538,EXISTING,50,2026-03-14T06:07:47.466Z,SCA,cross-spawn:7.0.3
HIGH,CVE-2026-26996,EXISTING,0,2026-03-14T06:07:47.466Z,SCA,minimatch:3.1.2
HIGH,CVE-2026-26996,EXISTING,0,2026-03-14T06:07:47.466Z,SCA,minimatch:9.0.4
HIGH,CVE-2026-27903,EXISTING,0,2026-03-14T06:07:47.466Z,SCA,minimatch:3.1.2
HIGH,CVE-2026-27903,EXISTING,0,2026-03-14T06:07:47.466Z,SCA,minimatch:9.0.4
HIGH,CVE-2026-27904,EXISTING,0,2026-03-14T06:07:47.467Z,SCA,minimatch:3.1.2
HIGH,CVE-2026-27904,EXISTING,0,2026-03-14T06:07:47.467Z,SCA,minimatch:9.0.4
MEDIUM,CVE-2025-69873,EXISTING,0,2026-03-14T06:07:47.467Z,SCA,ajv:6.12.6
HIGH,CVE-2025-64756,EXISTING,1,2026-03-14T06:07:47.467Z,SCA,glob:10.4.1
HIGH,CVE-2026-32141,NEW,0,2026-03-14T06:07:47.478Z,SCA,flatted:3.3.1
MEDIUM,CVE-2025-13465,EXISTING,50,2026-03-14T06:07:47.480Z,SCA,lodash:4.17.21
HIGH,CVE-2026-24842,EXISTING,5,2026-03-14T06:07:47.480Z,SCA,tar:6.2.1
HIGH,CVE-2026-29786,NEW,0,2026-03-14T06:07:47.492Z,SCA,tar:6.2.1
MEDIUM,CVE-2025-64718,EXISTING,0,2026-03-14T06:07:47.493Z,SCA,js-yaml:3.14.1
MEDIUM,CVE-2025-64718,EXISTING,1,2026-03-14T06:07:47.493Z,SCA,js-yaml:4.1.0
HIGH,CVE-2026-26960,EXISTING,0,2026-03-14T06:07:47.494Z,SCA,tar:6.2.1
LOW,CVE-2025-5889,EXISTING,0,2026-03-14T06:07:47.494Z,SCA,brace-expansion:1.1.11
LOW,CVE-2025-5889,EXISTING,1,2026-03-14T06:07:47.494Z,SCA,brace-expansion:2.0.1
HIGH,CVE-2026-23950,EXISTING,50,2026-03-14T06:07:47.495Z,SCA,tar:6.2.1
HIGH,CVE-2026-23745,EXISTING,1,2026-03-14T06:07:47.495Z,SCA,tar:6.2.1
HIGH,CVE-2026-31802,NEW,0,2026-03-14T06:07:47.506Z,SCA,tar:6.2.1
LOW,CVE-2026-3449,NEW,0,2026-03-14T06:07:47.517Z,SCA,@tootallnate/once:2.0.0
