Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2023-44487,EXISTING,0,2026-03-19T09:49:02.231Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2023-45288,EXISTING,1,2026-03-19T09:49:02.232Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2023-48795,EXISTING,0,2026-03-19T09:49:02.234Z,SCA,golang.org/x/crypto:v0.0.0-20220331220935-ae2d96664a29
CRITICAL,CVE-2024-45337,EXISTING,1,2026-03-19T09:49:02.237Z,SCA,golang.org/x/crypto:v0.0.0-20220331220935-ae2d96664a29
MEDIUM,CVE-2025-22870,EXISTING,15,2026-03-19T09:49:02.247Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
HIGH,CVE-2022-41723,EXISTING,5,2026-03-19T09:49:02.238Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2022-41717,EXISTING,15,2026-03-19T09:49:02.239Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
HIGH,CVE-2025-22869,EXISTING,1,2026-03-19T09:49:02.240Z,SCA,golang.org/x/crypto:v0.0.0-20220331220935-ae2d96664a29
HIGH,CVE-2023-39325,EXISTING,1,2026-03-19T09:49:02.242Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
HIGH,CVE-2022-27664,EXISTING,1,2026-03-19T09:49:02.243Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2025-22872,EXISTING,15,2026-03-19T09:49:02.244Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2023-3978,EXISTING,5,2026-03-19T09:49:02.245Z,SCA,golang.org/x/net:v0.0.0-20220421235706-1d1ef9303861
MEDIUM,CVE-2025-58181,EXISTING,1,2026-03-19T09:49:02.246Z,SCA,golang.org/x/crypto:v0.0.0-20220331220935-ae2d96664a29
HIGH,CVE-2022-32149,EXISTING,1,2026-03-19T09:49:02.247Z,SCA,golang.org/x/text:v0.3.7
MEDIUM,CVE-2025-47914,EXISTING,1,2026-03-19T09:49:02.248Z,SCA,golang.org/x/crypto:v0.0.0-20220331220935-ae2d96664a29
