Severity,Name,Status,Exploitability,Last Seen,Source,Location
CRITICAL,CVE-2017-17485,EXISTING,30,2026-04-04T00:57:35.948Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2022-22965,EXISTING,0,2026-04-04T00:57:35.945Z,SCA,spring-beans:5.0.4.RELEASE
CRITICAL,CVE-2022-22965,EXISTING,0,2026-04-04T00:57:35.946Z,SCA,spring-webmvc:5.0.4.RELEASE
CRITICAL,CVE-2022-22978,EXISTING,0,2026-04-04T00:57:35.947Z,SCA,spring-security-core:5.0.0.RELEASE
CRITICAL,CVE-2022-22978,EXISTING,50,2026-04-04T00:57:35.947Z,SCA,spring-security-web:5.0.0.RELEASE
HIGH,CVE-2020-5398,EXISTING,15,2026-04-04T00:57:35.950Z,SCA,spring-webmvc:5.0.4.RELEASE
HIGH,CVE-2024-38819,EXISTING,2,2026-04-04T00:57:35.952Z,SCA,spring-webmvc:5.0.4.RELEASE
CRITICAL,CVE-2020-9548,EXISTING,15,2026-04-04T00:57:35.953Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-11113,EXISTING,15,2026-04-04T00:57:35.954Z,SCA,jackson-databind:2.9.3
MEDIUM,CVE-2018-1271,EXISTING,15,2026-04-04T00:57:35.957Z,SCA,spring-core:5.0.4.RELEASE
HIGH,CVE-2020-36179,EXISTING,15,2026-04-04T00:57:35.960Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2024-22259,EXISTING,40,2026-04-04T00:57:35.962Z,SCA,spring-web:5.0.4.RELEASE
HIGH,CVE-2018-15756,EXISTING,0,2026-04-04T00:57:35.974Z,SCA,spring-core:5.0.4.RELEASE
CRITICAL,CVE-2018-7489,EXISTING,50,2026-04-04T00:57:35.965Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2018-14718,EXISTING,15,2026-04-04T00:57:35.972Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2016-1000027,EXISTING,15,2026-04-04T00:57:35.951Z,SCA,spring-web:5.0.4.RELEASE
MEDIUM,CVE-2019-12384,EXISTING,35,2026-04-04T00:57:35.968Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-10673,EXISTING,15,2026-04-04T00:57:35.970Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2024-22243,EXISTING,25,2026-04-04T00:57:35.959Z,SCA,spring-web:5.0.4.RELEASE
HIGH,CVE-2023-24998,EXISTING,50,2026-04-04T00:57:35.963Z,SCA,commons-fileupload:1.3.3
CRITICAL,CVE-2020-9547,EXISTING,15,2026-04-04T00:57:35.964Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-10672,EXISTING,15,2026-04-04T00:57:35.966Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-35728,EXISTING,15,2026-04-04T00:57:35.967Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2022-22968,EXISTING,25,2026-04-04T00:57:35.971Z,SCA,spring-context:5.0.4.RELEASE
CRITICAL,CVE-2024-38821,EXISTING,10,2026-04-04T00:57:35.976Z,SCA,spring-security-web:5.0.0.RELEASE
CRITICAL,CVE-2018-11307,EXISTING,25,2026-04-04T00:57:35.977Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2019-12086,EXISTING,18,2026-04-04T00:57:35.979Z,SCA,jackson-databind:2.9.3
MEDIUM,CVE-2019-12814,EXISTING,15,2026-04-04T00:57:35.980Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2019-14439,EXISTING,15,2026-04-04T00:57:35.985Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2019-14379,EXISTING,50,2026-04-04T00:57:36.027Z,SCA,jackson-databind:2.9.3
MEDIUM,CVE-2024-38827,EXISTING,15,2026-04-04T00:57:36.057Z,SCA,spring-security-core:5.0.0.RELEASE
MEDIUM,CVE-2020-10693,EXISTING,50,2026-04-04T00:57:36.058Z,SCA,hibernate-validator:6.0.7.Final
HIGH,CVE-2022-22970,EXISTING,55,2026-04-04T00:57:36.058Z,SCA,spring-beans:5.0.4.RELEASE
HIGH,CVE-2024-47554,EXISTING,35,2026-04-04T00:57:36.059Z,SCA,commons-io:2.5
MEDIUM,CVE-2024-38809,EXISTING,15,2026-04-04T00:57:36.060Z,SCA,spring-web:5.0.4.RELEASE
MEDIUM,CVE-2024-38808,EXISTING,5,2026-04-04T00:57:36.044Z,SCA,spring-expression:5.0.4.RELEASE
HIGH,CVE-2020-36186,EXISTING,0,2026-04-04T00:57:36.015Z,SCA,jackson-databind:2.9.3
MEDIUM,CVE-2019-10219,EXISTING,0,2026-04-04T00:57:36.032Z,SCA,hibernate-validator:6.0.7.Final
MEDIUM,CVE-2021-29425,EXISTING,0,2026-04-04T00:57:36.052Z,SCA,commons-io:2.5
CRITICAL,CVE-2017-15095,EXISTING,15,2026-04-04T00:57:35.984Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-14061,EXISTING,18,2026-04-04T00:57:35.997Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-35491,EXISTING,15,2026-04-04T00:57:35.998Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-36181,EXISTING,50,2026-04-04T00:57:35.999Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2019-20330,EXISTING,25,2026-04-04T00:57:36.016Z,SCA,jackson-databind:2.9.3
CRITICAL,CVE-2019-16943,EXISTING,15,2026-04-04T00:57:36.017Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-11620,EXISTING,15,2026-04-04T00:57:36.020Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-24616,EXISTING,15,2026-04-04T00:57:36.014Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2020-11619,EXISTING,50,2026-04-04T00:57:36.031Z,SCA,jackson-databind:2.9.3
MEDIUM,CVE-2025-35036,EXISTING,50,2026-04-04T00:57:36.032Z,SCA,hibernate-validator:6.0.7.Final
HIGH,CVE-2020-10969,EXISTING,2,2026-04-04T00:57:36.033Z,SCA,jackson-databind:2.9.3
HIGH,CVE-2021-22112,EXISTING,25,2026-04-04T00:57:36.034Z,SCA,spring-security-web:5.0.0.RELEASE
