Severity,Name,Status,Exploitability,Last Seen,Source,Location
HIGH,CVE-2020-16250,EXISTING,80,2026-03-11T22:09:20.522Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2023-4680,EXISTING,15,2026-03-11T22:09:20.527Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2023-6337,EXISTING,15,2026-03-11T22:09:20.530Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2020-16251,EXISTING,15,2026-03-11T22:09:20.532Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2024-7594,EXISTING,70,2026-03-11T22:09:20.534Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2023-3462,EXISTING,92,2026-03-11T22:09:20.535Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2026-27606,NEW,0,2026-03-11T22:09:20.564Z,SCA,rollup:2.79.2
HIGH,CVE-2021-32923,EXISTING,55,2026-03-11T22:09:20.569Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2024-8185,EXISTING,93,2026-03-11T22:09:20.572Z,SCA,github.com/hashicorp/vault:
CRITICAL,CVE-2022-40186,EXISTING,8,2026-03-11T22:09:20.574Z,SCA,github.com/hashicorp/vault:
CRITICAL,CVE-2020-25816,EXISTING,60,2026-03-11T22:09:20.576Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2023-5954,EXISTING,60,2026-03-11T22:09:20.577Z,SCA,github.com/hashicorp/vault:
CRITICAL,CVE-2020-10661,EXISTING,60,2026-03-11T22:09:20.579Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2024-6468,EXISTING,65,2026-03-11T22:09:20.580Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2020-13223,EXISTING,40,2026-03-11T22:09:20.582Z,SCA,github.com/hashicorp/vault:
CRITICAL,CVE-2021-43998,EXISTING,80,2026-03-11T22:09:20.583Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2021-3282,EXISTING,95,2026-03-11T22:09:20.585Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2024-9180,EXISTING,15,2026-03-11T22:09:20.586Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2020-7220,EXISTING,45,2026-03-11T22:09:20.587Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2020-35177,EXISTING,50,2026-03-11T22:09:20.588Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2023-2121,EXISTING,90,2026-03-11T22:09:20.588Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2024-8365,EXISTING,80,2026-03-11T22:09:20.589Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2022-30689,EXISTING,60,2026-03-11T22:09:20.591Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2021-38554,EXISTING,15,2026-03-11T22:09:20.592Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2023-5077,EXISTING,15,2026-03-11T22:09:20.594Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2025-12044,EXISTING,25,2026-03-11T22:09:20.595Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2024-2048,EXISTING,75,2026-03-11T22:09:20.597Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2021-42135,EXISTING,15,2026-03-11T22:09:20.599Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2025-11621,EXISTING,15,2026-03-11T22:09:20.602Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2025-3879,EXISTING,35,2026-03-11T22:09:20.606Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2020-10660,EXISTING,35,2026-03-11T22:09:20.608Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2024-0831,EXISTING,50,2026-03-11T22:09:20.611Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2024-2660,EXISTING,15,2026-03-11T22:09:20.611Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2022-41316,EXISTING,15,2026-03-11T22:09:20.613Z,SCA,github.com/hashicorp/vault:
HIGH,CVE-2023-24999,EXISTING,50,2026-03-11T22:09:20.614Z,SCA,github.com/hashicorp/vault:
CRITICAL,CVE-2025-6000,EXISTING,80,2026-03-11T22:09:20.615Z,SCA,github.com/hashicorp/vault:
LOW,CVE-2021-41802,EXISTING,8,2026-03-11T22:09:20.617Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2025-4166,EXISTING,15,2026-03-11T22:09:20.618Z,SCA,github.com/hashicorp/vault:
MEDIUM,CVE-2025-22872,EXISTING,1,2026-03-11T22:09:20.619Z,SCA,golang.org/x/net:v0.37.0
