Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2015-9251,EXISTING,80,2026-04-07T06:53:13.236Z,SCA,jquery:2.0.0
MEDIUM,CVE-2020-11023,EXISTING,15,2026-04-07T06:53:13.236Z,SCA,jquery:2.0.0
MEDIUM,CVE-2021-41182,EXISTING,15,2026-04-07T06:53:13.237Z,SCA,jquery-ui:1.10.2
MEDIUM,CVE-2021-41182,EXISTING,0,2026-04-04T16:58:01.583Z,SCA,jquery-ui:1.10.3
HIGH,CVE-2022-36359,EXISTING,25,2026-04-07T06:53:13.232Z,SCA,Django:1.9.0
CRITICAL,CVE-2025-64459,EXISTING,25,2026-04-07T06:53:13.234Z,SCA,Django:1.9.0
HIGH,CVE-2025-57833,EXISTING,25,2026-04-07T06:53:13.235Z,SCA,Django:1.9.0
MEDIUM,CVE-2020-11078,EXISTING,15,2026-04-07T06:53:13.236Z,SCA,httplib2:0.9.2
HIGH,CVE-2021-21240,EXISTING,25,2026-04-07T06:53:13.237Z,SCA,httplib2:0.9.2
MEDIUM,CVE-2022-31160,EXISTING,15,2026-04-07T06:53:13.237Z,SCA,jquery-ui:1.10.3
MEDIUM,CVE-2016-7103,EXISTING,5,2026-04-07T06:53:13.237Z,SCA,jquery-ui:1.10.3
MEDIUM,CVE-2021-33203,EXISTING,15,2026-04-07T06:53:13.238Z,SCA,Django:1.9.0
CRITICAL,CVE-2019-19844,EXISTING,85,2026-04-07T06:53:13.238Z,SCA,Django:1.9.0
HIGH,CVE-2016-7401,EXISTING,15,2026-04-07T06:53:13.238Z,SCA,Django:1.9.0
CRITICAL,CVE-2016-9013,EXISTING,1,2026-04-07T06:53:13.239Z,SCA,Django:1.9.0
MEDIUM,CVE-2016-6186,EXISTING,15,2026-04-07T06:53:13.239Z,SCA,Django:1.9.0
CRITICAL,CVE-2016-9014,EXISTING,50,2026-04-07T06:53:13.239Z,SCA,Django:1.9.0
MEDIUM,CVE-2016-2512,EXISTING,50,2026-04-07T06:53:13.239Z,SCA,Django:1.9.0
MEDIUM,CVE-2017-7233,EXISTING,15,2026-04-07T06:53:13.240Z,SCA,Django:1.9.0
LOW,CVE-2016-2513,EXISTING,80,2026-04-07T06:53:13.240Z,SCA,Django:1.9.0
MEDIUM,CVE-2017-7234,EXISTING,15,2026-04-07T06:53:13.240Z,SCA,Django:1.9.0
MEDIUM,CVE-2013-2037,EXISTING,1,2026-04-07T06:53:13.240Z,SCA,httplib2:0.9.2
HIGH,CVE-2016-2048,EXISTING,50,2026-04-07T06:53:13.241Z,SCA,Django:1.9.0
HIGH,CVE-2024-6345,EXISTING,50,2026-04-07T06:53:13.241Z,SCA,setuptools:66.1.1
MEDIUM,CVE-2021-41184,EXISTING,0,2026-04-04T16:58:01.582Z,SCA,jquery-ui:1.10.3
CRITICAL,CVE-2020-7471,EXISTING,0,2026-04-04T16:58:01.583Z,SCA,Django:1.9.0
HIGH,CVE-2025-47273,EXISTING,1,2026-04-07T06:53:13.231Z,SCA,setuptools:66.1.1
HIGH,CVE-2022-40899,EXISTING,15,2026-04-07T06:53:13.232Z,SCA,future:0.15.2
MEDIUM,CVE-2021-41184,EXISTING,5,2026-04-07T06:53:13.237Z,SCA,jquery-ui:1.10.2
MEDIUM,CVE-2022-31160,EXISTING,0,2026-04-04T16:58:01.584Z,SCA,jquery-ui:1.10.2
MEDIUM,CVE-2021-41183,EXISTING,0,2026-04-04T16:58:01.585Z,SCA,jquery-ui:1.10.2
MEDIUM,CVE-2021-41183,EXISTING,0,2026-04-04T16:58:01.585Z,SCA,jquery-ui:1.10.3
MEDIUM,CVE-2019-11358,EXISTING,0,2026-04-04T16:58:01.585Z,SCA,jquery:2.0.0
MEDIUM,CVE-2016-7103,EXISTING,0,2026-04-04T16:58:01.586Z,SCA,jquery-ui:1.10.2
MEDIUM,CVE-2024-45231,EXISTING,15,2026-04-07T06:53:13.235Z,SCA,Django:1.9.0
HIGH,CVE-2025-64458,EXISTING,96,2026-04-07T06:53:13.235Z,SCA,Django:1.9.0
MEDIUM,CVE-2025-48432,EXISTING,50,2026-04-07T06:53:13.235Z,SCA,Django:1.9.0
MEDIUM,CVE-2020-11022,EXISTING,0,2026-04-04T16:58:01.584Z,SCA,jquery:2.0.0
